facility_id,true_positive,latitude,longitude,new_cafo
north-carolina_burke_14602_287_6_1_0_17_-164_13729_00,1,35.6049588403,-81.5174870258,0
north-carolina_harnett_10004_287_6_1_0_17_675_13627_00,0,35.3239418145,-78.8667939129,0
north-carolina_robeson_23670_287_6_1_0_17_645_13435_00,0,34.8293330904,-78.9751163462,0
north-carolina_mecklenburg_5021_287_6_1_0_17_31_13588_00,0,35.2411404697,-80.9011119124,0
north-carolina_richmond_2828_287_6_1_0_17_364_13561_00,1,35.1659309733,-79.8508366473,0
north-carolina_sampson_27104_287_6_1_0_17_889_13457_00,1,34.8693406542,-78.2069906519,0
north-carolina_harnett_18497_287_6_1_0_17_758_13603_00,0,35.2571968284,-78.60809802,0
north-carolina_wilkes_22400_287_6_1_0_17_23_13978_00,1,36.2511210811,-80.9247897124,0
north-carolina_wayne_6349_287_6_1_0_17_934_13588_00,0,35.206442653,-78.0547299933,0
north-carolina_wilkes_13634_287_6_1_0_17_-40_13957_00,1,36.1977318628,-81.1264443223,0
north-carolina_bladen_866_287_6_1_0_17_690_13328_00,1,34.5492011537,-78.8403346844,0
north-carolina_bladen_866_287_6_1_0_17_690_13328_10,1,34.5514176454,-78.8409627721,0
north-carolina_gates_9570_287_6_1_0_18_-485_14025_00,1,36.364328722,-76.5503306902,1
north-carolina_randolph_22742_287_6_1_0_17_442_13743_00,1,35.6363020402,-79.5986719219,0
north-carolina_wilkes_14137_287_6_1_0_17_-37_14000_00,1,36.3075857684,-81.1182938089,0
north-carolina_randolph_22764_287_6_1_0_17_442_13765_00,1,35.6909502486,-79.5964458155,0
north-carolina_randolph_22796_287_6_1_0_17_442_13797_00,0,35.7758946425,-79.5963552622,0
north-carolina_wilkes_14238_287_6_1_0_17_-36_13948_00,0,36.1736128405,-81.1126105863,0
north-carolina_wilkes_14550_287_6_1_0_17_-34_13953_00,1,36.1872823252,-81.1082424727,0
north-carolina_wilkes_14413_287_6_1_0_17_-35_13970_00,1,36.2315223865,-81.1110179181,0
north-carolina_wilkes_14874_287_6_1_0_17_-32_13964_00,0,36.2159010444,-81.1013968974,0
north-carolina_wilkes_14891_287_6_1_0_17_-32_13981_00,1,36.2575918031,-81.1009842799,0
north-carolina_wilkes_15063_287_6_1_0_17_-31_13994_00,1,36.2923332708,-81.0981775919,1
north-carolina_wilkes_15533_287_6_1_0_17_-28_13985_00,1,36.2701210679,-81.0897875725,0
north-carolina_wilkes_15415_287_6_1_0_17_-29_14026_00,1,36.3760170322,-81.0910383935,0
north-carolina_alamance_613_287_6_1_0_17_462_13835_00,1,35.8732452211,-79.5297628833,0
north-carolina_alamance_6530_287_6_1_0_17_499_13909_00,0,36.0618555307,-79.4075962733,0
north-carolina_alamance_6605_287_6_1_0_17_500_13827_00,1,35.8491363051,-79.4086251551,0
north-carolina_alamance_6926_287_6_1_0_17_502_13834_00,1,35.8695592748,-79.4036193357,0
north-carolina_alamance_8392_287_6_1_0_17_511_13894_00,0,36.0234773245,-79.3710859848,0
north-carolina_alexander_244_287_6_1_0_17_-104_13841_00,1,35.8974619327,-81.3272681289,0
north-carolina_alexander_3138_287_6_1_0_17_-69_13829_00,1,35.86598883,-81.2185050275,0
north-carolina_alexander_4090_287_6_1_0_17_-58_13860_00,1,35.9459565652,-81.1818907054,0
north-carolina_alexander_6051_287_6_1_0_17_-35_13803_00,1,35.797991631,-81.1098720593,1
north-carolina_alexander_6126_287_6_1_0_17_-35_13878_00,1,35.9912621218,-81.1097432505,0
north-carolina_alexander_6225_287_6_1_0_17_-34_13876_00,0,35.9864503922,-81.1058081052,0
north-carolina_alexander_640_287_6_1_0_17_-99_13842_00,1,35.9001276065,-81.3144277427,0
north-carolina_alexander_6489_287_6_1_0_17_-31_13848_00,1,35.9159057554,-81.0970933092,0
north-carolina_alexander_7211_287_6_1_0_17_-23_13861_00,1,35.9492572461,-81.07336316,0
north-carolina_alexander_7369_287_6_1_0_17_-21_13854_00,1,35.9311632693,-81.0653616059,0
north-carolina_alexander_7602_287_6_1_0_17_-18_13855_00,1,35.9333149389,-81.056286016,0
north-carolina_alexander_8025_287_6_1_0_17_-12_13837_00,1,35.8871382589,-81.0369934444,0
north-carolina_alleghany_4025_287_6_1_0_17_-38_14079_00,0,36.5131903141,-81.1202190516,0
north-carolina_alleghany_4356_287_6_1_0_17_-32_14088_10,0,36.5359449439,-81.1023160146,0
north-carolina_anson_10717_287_6_1_0_17_298_13510_00,1,35.035927616,-80.0622702196,1
north-carolina_anson_1219_287_6_1_0_17_230_13506_00,1,35.0269899222,-80.2736356888,0
north-carolina_anson_12319_287_6_1_0_17_312_13518_00,1,35.0566641316,-80.0145728126,0
north-carolina_anson_14657_287_6_1_0_17_333_13486_00,1,34.9747486556,-79.9519124993,0
north-carolina_anson_2598_287_6_1_0_17_239_13507_00,1,35.0311445924,-80.2480125251,0
