image_id,true_naip_year,longitude,latitude,modeled_naip_year
286_6_1_0_17_785_13606,2012,-78.5341567223,35.1409954809,
286_6_1_0_17_787_13597,2005,-78.5285845921,35.1176789043,2008.0
286_6_1_0_17_788_13605,2005,-78.5248249547,35.1382271262,2008.0
286_6_1_0_17_788_13606,2005,-78.5247469185,35.1408036448,2008.0
286_6_1_0_17_788_13676,2005,-78.5192597008,35.3211568396,
286_6_1_0_17_789_13658,2005,-78.5175336306,35.2747164646,2008.0
286_6_1_0_17_790_13599,2008,-78.5190211914,35.1226397775,2008.0
286_6_1_0_17_790_13601,2006,-78.5188648336,35.1277928041,2008.0
286_6_1_0_17_790_13620,2005,-78.5173774535,35.176746307,2008.0
286_6_1_0_17_792_13610,2005,-78.5118868296,35.1508526923,2008.0
286_6_1_0_17_793_13572,2005,-78.5117285267,35.0528810006,2008.0
286_6_1_0_17_793_13667,2005,-78.5042549232,35.2976457014,2008.0
286_6_1_0_17_793_13672,2005,-78.5038590743,35.3105277409,2008.0
286_6_1_0_17_794_13617,2005,-78.5050620115,35.168759002,
286_6_1_0_17_794_13629,2006,-78.5041163773,35.1996765225,2008.0
286_6_1_0_17_795_13668,2005,-78.4978904407,35.3000922431,2008.0
286_6_1_0_17_796_13568,2005,-78.5026428846,35.0423817872,2008.0
286_6_1_0_17_796_13578,2005,-78.5018578761,35.0681468904,2008.0
286_6_1_0_17_796_13592,2005,-78.5007571893,35.1042178248,2008.0
286_6_1_0_17_796_13606,2005,-78.499654545,35.140288514,2008.0
286_6_1_0_17_796_13668,2005,-78.4947477893,35.3000271864,2008.0
286_6_1_0_17_797_13617,2005,-78.4956492188,35.1685647738,2008.0
286_6_1_0_17_799_13695,2005,-78.4831629204,35.3693931337,2008.0
286_6_1_0_17_800_13565,2005,-78.4903483798,35.0343937298,2008.0
286_6_1_0_17_800_13677,2005,-78.4814582189,35.3229533924,2010.0
286_6_1_0_17_800_13706,2005,-78.479135634,35.3976671661,2008.0
286_6_1_0_17_801_13684,2005,-78.4777541844,35.3409222846,2008.0
286_6_1_0_17_802_13549,2005,-78.4853464091,34.9930400997,2008.0
286_6_1_0_17_802_13665,2005,-78.4761321961,35.2919060654,2008.0
286_6_1_0_17_803_13685,2005,-78.4713855122,35.3433672392,2010.0
286_6_1_0_17_804_13560,2005,-78.4782146318,35.0212515647,2008.0
286_6_1_0_17_804_13578,2005,-78.4767881971,35.0676279529,2008.0
286_6_1_0_17_804_13652,2012,-78.4708896118,35.2582821684,2012.0
286_6_1_0_17_805_13561,2005,-78.4750034751,35.0237629156,2008.0
286_6_1_0_17_805_13605,2005,-78.4715061034,35.1371263752,2010.0
286_6_1_0_17_807_13587,2005,-78.4666701381,35.0906198914,2008.0
286_6_1_0_17_807_13647,2005,-78.4618685163,35.2452031198,2008.0
286_6_1_0_17_808_13607,2008,-78.4619371684,35.1420824825,2009.0
286_6_1_0_17_808_13694,2005,-78.4549365089,35.3662239537,2009.0
286_6_1_0_17_809_13559,2005,-78.4626348848,35.0183487131,
286_6_1_0_17_809_13564,2005,-78.4622365783,35.0312309349,2008.0
286_6_1_0_17_811_13647,2005,-78.4493067979,35.2449390156,2008.0
286_6_1_0_17_812_13574,2005,-78.4520395735,35.0567982108,2010.0
286_6_1_0_17_812_13601,2005,-78.4498736393,35.1263608212,2010.0
286_6_1_0_17_812_13615,2005,-78.4487476372,35.162429962,2008.0
286_6_1_0_17_812_13626,2008,-78.4478615168,35.1907698282,2008.0
286_6_1_0_17_813_13524,2005,-78.4529027225,34.9279106047,2008.0
286_6_1_0_17_814_13657,2005,-78.4390748424,35.2705030749,2008.0
286_6_1_0_17_816_13555,2005,-78.4410340601,35.0075827753,2008.0
286_6_1_0_17_816_13575,2005,-78.4394263912,35.0591106987,2008.0
286_6_1_0_17_817_13561,2005,-78.4374203135,35.0229751107,2008.0
286_6_1_0_17_817_13581,2005,-78.4358094565,35.0745027574,2008.0
286_6_1_0_17_817_13649,2005,-78.4303018606,35.2496929884,2010.0
286_6_1_0_17_817_13651,2005,-78.4301391519,35.254845554,2008.0
286_6_1_0_17_817_13694,2005,-78.4266309092,35.3656244915,2010.0
286_6_1_0_17_818_13553,2008,-78.4349324323,35.0022977865,2009.0
286_6_1_0_17_818_13612,2005,-78.4301676537,35.1543031183,2008.0
286_6_1_0_17_818_13649,2005,-78.42716132,35.2496262579,2014.0
286_6_1_0_17_819_13546,2005,-78.4323649967,34.9841968037,2008.0
286_6_1_0_17_821_13576,2005,-78.4236792709,35.0613553298,2008.0
286_6_1_0_17_822_13518,2012,-78.4252316465,34.9118586404,2012.0
286_6_1_0_17_822_13534,2005,-78.4239424906,34.9530811586,2008.0
286_6_1_0_17_822_13594,2005,-78.4190847756,35.1076627332,2008.0
286_6_1_0_17_823_13550,2005,-78.4195199793,34.994236846,2008.0
286_6_1_0_17_823_13633,2005,-78.4127684645,35.2080712875,
286_6_1_0_17_824_13505,2005,-78.4200244861,34.8782325778,2008.0
286_6_1_0_17_824_13677,2005,-78.4060171444,35.3213583783,2008.0
286_6_1_0_17_826_13520,2005,-78.4125594923,34.9167457129,2008.0
286_6_1_0_17_826_13537,2012,-78.4111826903,34.9605441546,2014.0
286_6_1_0_17_827_13579,2005,-78.4046348793,35.0686834927,2009.0
286_6_1_0_17_827_13619,2005,-78.4013622887,35.171734839,2008.0
286_6_1_0_17_828_13570,2005,-78.4022362816,35.0454296218,
286_6_1_0_17_828_13598,2005,-78.3999470728,35.117565916,2008.0
286_6_1_0_17_828_13678,2005,-78.3933614791,35.3236641504,2008.0
286_6_1_0_17_829_13555,2005,-78.4003281387,35.0067177467,2008.0
286_6_1_0_17_829_13585,2005,-78.397876824,35.0840069721,2008.0
286_6_1_0_17_829_13669,2005,-78.3909632888,35.3004107497,2008.0
286_6_1_0_17_830_13606,2005,-78.393019178,35.1380413222,2009.0
286_6_1_0_17_830_13614,2005,-78.3923613788,35.1586513268,2008.0
286_6_1_0_17_831_13611,2005,-78.3894714844,35.15085504,2008.0
286_6_1_0_17_833_13541,2005,-78.3889498281,34.9703805056,
286_6_1_0_17_833_13661,2010,-78.3790585385,35.2795296256,2010.0
286_6_1_0_17_833_13675,2005,-78.3778947131,35.3155958341,2008.0
286_6_1_0_17_834_13589,2005,-78.3818769286,35.0939746942,2008.0
286_6_1_0_17_835_13570,2005,-78.3803080634,35.0449580831,2008.0
286_6_1_0_17_835_13587,2005,-78.3789074654,35.0887544745,2008.0
286_6_1_0_17_835_13604,2005,-78.3775038426,35.1325505,2009.0
286_6_1_0_17_836_13611,2005,-78.3737884047,35.1505161012,2008.0
286_6_1_0_17_836_13620,2005,-78.3730425338,35.1737019463,2008.0
286_6_1_0_17_838_13607,2005,-78.3678472601,35.1400751568,2010.0
286_6_1_0_17_839_13588,2005,-78.3662877285,35.0910590294,2008.0
286_6_1_0_17_839_13606,2005,-78.3647941669,35.1374307925,2008.0
286_6_1_0_17_840_13579,2005,-78.3638998283,35.0678049267,2008.0
286_6_1_0_17_840_13592,2005,-78.3628214398,35.1012957499,2008.0
286_6_1_0_17_840_13600,2005,-78.3621569313,35.1219053808,2008.0
286_6_1_0_17_840_13607,2005,-78.3615749328,35.1399387412,2008.0
286_6_1_0_17_841_13565,2005,-78.361927164,35.0316695896,2009.0
286_6_1_0_17_841_13629,2005,-78.3566041056,35.1965461396,2008.0
286_6_1_0_17_842_13520,2005,-78.3625165318,34.9156698108,2008.0
286_6_1_0_17_842_13592,2005,-78.3565521095,35.1011592048,2008.0
286_6_1_0_17_843_13564,2005,-78.3557461859,35.0289570086,2008.0
286_6_1_0_17_845_13527,2005,-78.3525542392,34.9334996313,2008.0
286_6_1_0_17_846_13605,2005,-78.3429257254,35.1343752449,2008.0
286_6_1_0_17_846_13607,2005,-78.3427582045,35.1395275492,2008.0
286_6_1_0_17_847_13531,2012,-78.3459655792,34.9436680967,2012.0
286_6_1_0_17_847_13536,2005,-78.3455501237,34.9565492848,
286_6_1_0_17_847_13601,2005,-78.3401251468,35.1240018447,2008.0
286_6_1_0_17_847_13612,2005,-78.3392026388,35.1523394392,2008.0
286_6_1_0_17_847_13617,2005,-78.3387828911,35.1652201131,2008.0
286_6_1_0_17_848_13522,2005,-78.3435849958,34.9204135361,2008.0
286_6_1_0_17_849_13505,2005,-78.3418695476,34.8765488646,2008.0
286_6_1_0_17_849_13535,2005,-78.3393752305,34.9538361158,2008.0
